meeting_attended,meeting_diff_minutes,interet_client,probabilite_ressentie,budget_confirme,decideur_present,prochaine_etape,nb_relances,is_converted
0,999,1,30,0,0,Rappel,2,0
0,999,1,50,0,0,Rappel,3,0
1,-15,4,48,1,0,Perdu,0,0
0,999,2,24,0,0,Perdu,2,0
1,41,3,79,0,1,Rappel,0,0
1,4,3,71,0,1,Rappel,1,1
1,-12,5,48,1,1,Devis,2,1
0,999,3,20,0,0,Rappel,5,0
1,-2,5,92,0,1,Rappel,0,1
0,999,1,6,0,0,Perdu,5,0
1,-9,5,37,1,1,Demo,2,1
1,-5,3,50,1,1,Devis,1,1
0,999,1,5,0,0,Perdu,5,0
1,-15,5,48,1,1,Devis,2,1
0,999,2,1,0,0,Perdu,2,0
1,-4,4,83,0,1,Rappel,0,1
1,12,4,40,1,0,Devis,3,0
0,999,2,7,0,0,Rappel,4,0
0,999,1,9,0,0,Perdu,4,0
1,6,4,77,0,1,Devis,2,1
1,-10,1,76,0,0,Devis,2,0
0,999,2,10,0,0,Rappel,4,0
0,999,3,7,0,0,Rappel,1,0
1,22,2,56,0,0,Devis,2,0
1,22,5,99,1,0,Demo,2,1
1,13,4,67,1,1,Perdu,1,0
1,27,2,55,1,0,Devis,3,0
1,10,1,46,0,1,Devis,0,0
1,6,3,55,0,0,Devis,1,0
1,-15,4,53,0,1,Rappel,3,1
1,40,3,50,1,0,Demo,2,0
0,999,1,26,0,0,Perdu,2,0
1,-5,5,55,0,1,Rappel,3,0
1,-8,3,21,0,1,Demo,1,1
0,999,3,30,0,0,Perdu,3,0
0,999,2,14,0,0,Perdu,3,0
0,999,1,24,0,0,Perdu,3,0
1,32,5,48,1,1,Rappel,1,1
1,-1,5,56,1,0,Devis,1,1
1,-10,3,48,0,1,Rappel,2,1
0,999,1,7,0,0,Perdu,1,0
0,999,1,20,0,0,Rappel,1,0
1,-1,4,60,0,1,Devis,2,1
0,999,1,0,0,0,Rappel,3,0
1,7,4,39,0,0,Devis,2,0
1,-13,4,79,1,0,Demo,1,1
0,999,1,7,0,0,Perdu,2,0
1,38,4,60,1,1,Devis,3,1
1,10,2,68,0,1,Devis,4,0
0,999,1,10,0,0,Rappel,1,0
1,-15,3,81,1,0,Rappel,2,1
0,999,1,35,0,0,Perdu,2,0
0,999,1,19,0,0,Perdu,6,0
0,999,3,6,0,0,Rappel,3,0
1,28,3,44,1,0,Devis,1,1
0,999,1,28,0,0,Rappel,2,0
1,-15,3,50,0,1,Rappel,0,1
1,13,5,77,1,0,Devis,5,0
0,999,1,23,0,0,Perdu,2,0
1,-13,5,15,1,1,Devis,0,1
1,34,4,41,1,1,Devis,0,0
1,0,4,51,1,0,Perdu,1,0
1,2,3,38,1,0,Rappel,1,0
0,999,1,15,0,0,Perdu,2,0
1,21,5,45,1,1,Rappel,1,1
1,-13,5,48,0,0,Perdu,0,1
0,999,3,33,0,0,Rappel,2,0
1,19,3,56,0,0,Rappel,0,1
1,-15,5,67,1,1,Perdu,1,1
0,999,2,8,0,0,Perdu,5,0
1,4,5,50,0,0,Perdu,0,0
1,10,2,56,0,1,Demo,2,1
0,999,1,12,0,0,Perdu,2,0
0,999,1,38,0,0,Perdu,4,0
0,999,3,1,0,0,Perdu,2,0
1,-14,3,68,1,1,Demo,1,0
0,999,2,0,0,0,Perdu,1,0
1,1,4,63,0,1,Demo,1,1
1,-15,4,74,0,1,Perdu,1,1
1,5,3,49,0,0,Devis,0,1
1,15,4,69,0,0,Perdu,1,0
1,-15,2,39,1,1,Devis,1,1
1,-4,5,49,1,1,Devis,2,1
0,999,3,28,0,0,Rappel,2,0
1,-3,2,65,1,1,Devis,0,1
1,42,3,40,1,1,Demo,3,1
1,-10,4,42,0,0,Devis,3,1
0,999,3,0,0,0,Perdu,4,0
1,-11,4,46,1,1,Rappel,2,1
1,-11,4,58,1,1,Devis,0,1
1,-7,3,42,0,0,Devis,1,0
1,4,5,66,0,1,Rappel,0,1
1,-15,5,84,1,0,Devis,2,1
1,21,4,93,1,0,Perdu,0,1
0,999,1,9,0,0,Perdu,2,0
1,0,5,81,1,1,Devis,2,1
1,24,4,45,0,1,Devis,2,1
1,-11,4,32,0,1,Perdu,0,0
1,6,4,49,0,1,Demo,3,0
1,-15,3,56,1,1,Demo,3,1
1,-15,5,65,1,0,Devis,0,1
1,13,4,30,1,1,Perdu,3,0
0,999,1,16,0,0,Rappel,1,0
1,7,5,72,0,0,Demo,4,0
1,4,4,40,0,1,Rappel,1,1
1,12,4,56,1,1,Demo,2,1
1,-2,3,19,0,0,Devis,3,0
1,16,4,32,0,0,Demo,2,0
1,44,4,71,0,1,Devis,0,1
1,18,4,82,0,1,Demo,3,1
1,-15,3,68,1,1,Devis,1,1
1,8,3,71,1,1,Devis,1,1
1,-15,5,75,1,1,Rappel,1,1
1,-13,5,93,1,0,Demo,0,1
1,-4,3,57,0,0,Rappel,2,0
0,999,1,0,0,0,Rappel,4,0
1,12,1,48,1,1,Demo,3,1
1,28,3,42,1,1,Perdu,1,0
0,999,2,20,0,0,Perdu,1,0
0,999,1,29,0,0,Perdu,1,0
0,999,3,17,0,0,Perdu,3,0
0,999,3,22,0,0,Perdu,6,0
0,999,2,42,0,0,Perdu,3,0
1,6,4,80,1,1,Devis,1,1
0,999,2,9,0,0,Perdu,6,0
1,18,1,49,1,1,Devis,1,1
1,5,2,81,0,0,Devis,3,0
0,999,3,24,0,0,Perdu,5,0
1,44,5,58,0,0,Perdu,0,0
1,3,5,61,1,1,Perdu,3,0
1,38,3,51,1,1,Rappel,2,1
0,999,1,34,0,0,Perdu,2,0
0,999,1,30,0,0,Rappel,2,0
1,-15,5,57,1,1,Devis,1,1
1,-13,3,82,1,1,Devis,3,1
0,999,1,30,0,0,Rappel,8,0
0,999,2,16,0,0,Perdu,1,0
1,15,3,39,0,1,Perdu,2,0
0,999,2,6,0,0,Perdu,3,0
0,999,1,12,0,0,Rappel,5,0
0,999,1,26,0,0,Perdu,1,0
1,-1,5,64,0,1,Perdu,1,1
0,999,2,0,0,0,Perdu,2,0
0,999,1,9,0,0,Rappel,3,0
0,999,3,1,0,0,Rappel,2,0
1,0,4,68,1,1,Rappel,1,1
1,14,5,39,1,1,Devis,1,1
1,60,4,69,0,1,Perdu,3,0
1,-15,4,36,1,1,Demo,0,1
1,-2,1,34,1,0,Devis,0,0
1,23,4,51,1,0,Devis,5,1
0,999,1,0,0,0,Perdu,4,0
0,999,3,14,0,0,Perdu,0,0
1,-15,3,47,1,1,Perdu,0,1
0,999,2,19,0,0,Perdu,2,0
1,-11,4,59,0,1,Rappel,2,0
0,999,1,2,0,0,Perdu,4,0
1,16,4,83,1,1,Devis,1,1
1,4,5,47,1,0,Demo,3,1
0,999,1,22,0,0,Perdu,3,0
1,24,2,27,0,0,Devis,0,1
1,-2,3,33,0,1,Devis,2,1
1,-15,3,81,0,1,Devis,2,1
1,12,4,61,1,1,Devis,2,1
1,-15,3,67,1,0,Devis,0,0
1,-2,4,57,1,1,Devis,2,1
1,21,3,41,1,1,Perdu,0,0
0,999,2,11,0,0,Rappel,2,0
0,999,2,44,0,0,Perdu,2,0
1,-15,4,59,1,1,Perdu,2,0
0,999,1,3,0,0,Perdu,3,0
0,999,1,42,0,0,Perdu,2,0
1,4,3,49,1,1,Rappel,0,1
1,23,4,73,0,0,Devis,2,1
0,999,1,19,0,0,Perdu,3,0
1,-15,5,35,0,0,Devis,0,0
1,4,5,38,1,1,Devis,1,1
0,999,3,23,0,0,Perdu,4,0
1,28,5,100,0,1,Demo,1,1
0,999,2,19,0,0,Rappel,1,0
1,59,5,68,0,1,Perdu,1,0
0,999,2,12,0,0,Perdu,3,0
0,999,2,13,0,0,Perdu,4,0
1,-15,4,71,1,0,Devis,1,1
0,999,1,31,0,0,Perdu,3,0
0,999,1,23,0,0,Perdu,2,0
1,7,3,42,1,0,Rappel,3,0
1,-1,3,23,1,1,Devis,0,1
0,999,2,41,0,0,Perdu,2,0
0,999,1,34,0,0,Rappel,3,0
0,999,3,9,0,0,Perdu,3,0
1,17,2,52,0,1,Perdu,0,0
1,-4,4,40,1,0,Perdu,2,1
1,-8,4,51,0,0,Demo,1,1
1,-12,4,69,0,1,Devis,0,1
0,999,2,8,0,0,Perdu,4,0
1,-6,2,65,0,0,Devis,1,0
1,3,3,25,0,0,Rappel,1,1
0,999,1,18,0,0,Perdu,4,0
1,-14,4,47,1,0,Devis,5,1
1,5,2,43,1,0,Devis,1,0
0,999,2,25,0,0,Rappel,3,0
1,11,5,28,0,1,Devis,5,1
0,999,2,50,0,0,Rappel,1,0
0,999,2,27,0,0,Perdu,7,0
0,999,2,5,0,0,Perdu,2,0
0,999,1,31,0,0,Rappel,3,0
1,-15,3,59,0,1,Demo,0,1
1,-13,3,47,1,0,Rappel,0,0
1,9,3,64,1,0,Rappel,4,0
1,11,4,41,0,1,Rappel,3,0
1,34,5,41,1,0,Rappel,1,0
0,999,2,15,0,0,Perdu,2,0
1,30,2,1,1,1,Devis,0,1
0,999,2,40,0,0,Perdu,3,0
1,1,1,52,0,0,Demo,0,1
1,-5,3,40,1,1,Demo,0,0
1,0,2,75,0,0,Devis,1,1
0,999,3,43,0,0,Perdu,2,0
0,999,1,26,0,0,Perdu,3,0
1,-15,5,40,1,0,Perdu,0,1
1,21,5,58,1,0,Devis,5,1
1,-4,3,20,1,0,Devis,4,1
0,999,3,4,0,0,Rappel,1,0
1,-11,1,80,1,0,Perdu,1,0
0,999,3,32,0,0,Perdu,4,0
1,10,4,94,1,0,Devis,1,1
1,-9,4,65,0,1,Demo,0,1
1,-15,5,37,1,1,Devis,3,1
1,20,4,42,0,1,Devis,5,1
0,999,1,41,0,0,Perdu,5,0
0,999,2,30,0,0,Rappel,3,0
0,999,3,23,0,0,Perdu,1,0
1,5,4,100,1,1,Devis,0,1
1,-15,5,44,1,0,Perdu,1,1
1,0,4,31,1,0,Perdu,2,1
1,9,4,53,1,1,Rappel,2,1
0,999,1,12,0,0,Perdu,8,0
1,19,4,100,0,0,Devis,1,1
1,-5,5,51,0,1,Devis,0,1
1,21,5,36,1,1,Perdu,0,1
1,16,1,47,0,1,Rappel,1,1
1,25,4,45,1,1,Demo,1,1
1,17,4,74,0,0,Rappel,3,0
1,7,4,46,1,1,Rappel,1,1
0,999,1,30,0,0,Perdu,2,0
1,-15,4,38,0,1,Perdu,0,0
1,20,4,67,0,1,Demo,2,1
0,999,1,19,0,0,Perdu,2,0
0,999,2,23,0,0,Perdu,5,0
0,999,3,20,0,0,Perdu,5,0
1,13,4,54,1,1,Demo,5,1
1,-11,3,72,1,0,Rappel,2,1
0,999,1,24,0,0,Rappel,8,0
1,38,1,55,0,1,Devis,1,1
0,999,1,15,0,0,Rappel,4,0
0,999,1,16,0,0,Rappel,1,0
1,0,5,61,1,0,Perdu,3,1
0,999,1,6,0,0,Perdu,3,0
0,999,3,27,0,0,Rappel,2,0
1,-15,5,40,1,1,Devis,2,1
1,-15,5,46,1,1,Devis,0,1
1,19,4,51,1,0,Rappel,1,1
1,-10,4,82,1,1,Demo,1,1
1,40,4,95,1,1,Devis,0,1
0,999,2,32,0,0,Perdu,2,0
0,999,1,14,0,0,Perdu,1,0
1,29,2,43,1,0,Devis,2,0
1,-15,4,48,0,0,Rappel,2,1
1,12,4,43,1,0,Perdu,1,0
1,-12,5,76,0,1,Perdu,2,1
0,999,2,22,0,0,Perdu,5,0
1,2,2,66,1,1,Perdu,0,1
1,37,4,25,0,1,Rappel,1,0
1,1,4,43,1,0,Devis,2,1
1,25,2,49,1,1,Rappel,3,1
1,-4,1,69,0,1,Perdu,1,0
1,-14,4,24,1,0,Devis,2,0
0,999,1,29,0,0,Perdu,2,0
1,35,3,80,1,1,Demo,0,1
0,999,3,30,0,0,Perdu,5,0
1,0,4,36,1,0,Devis,2,0
0,999,1,43,0,0,Perdu,3,0
1,12,4,73,0,0,Rappel,3,1
1,-15,4,51,0,0,Perdu,2,0
0,999,1,28,0,0,Perdu,2,0
1,51,2,29,1,0,Devis,1,0
0,999,2,14,0,0,Rappel,7,0
1,-4,1,65,0,0,Devis,2,0
0,999,1,25,0,0,Rappel,1,0
1,-15,5,62,1,1,Devis,1,1
0,999,1,17,0,0,Perdu,5,0
1,7,3,18,0,0,Demo,3,0
0,999,1,23,0,0,Rappel,3,0
1,37,4,61,0,1,Rappel,1,1
1,15,5,43,1,0,Rappel,0,1
0,999,2,17,0,0,Rappel,2,0
1,28,3,51,0,1,Demo,1,0
1,-4,4,40,0,0,Perdu,3,0
1,40,5,75,1,0,Devis,2,1
1,-15,5,55,0,1,Rappel,5,1
1,13,4,43,1,0,Devis,2,1
0,999,3,20,0,0,Perdu,4,0
1,30,3,100,0,1,Devis,1,1
1,16,4,45,1,1,Perdu,4,1
1,0,3,35,0,0,Demo,0,0
1,-14,2,61,1,1,Demo,2,1
1,-15,3,91,1,1,Rappel,0,1
1,-15,4,51,1,1,Devis,1,1
1,8,4,67,1,1,Perdu,2,1
0,999,1,10,0,0,Perdu,0,0
1,11,3,69,0,1,Devis,2,0
1,-15,5,63,1,1,Devis,2,1
0,999,2,39,0,0,Perdu,4,0
1,19,4,45,0,1,Demo,1,0
1,-15,4,54,1,0,Perdu,1,1
0,999,2,13,0,0,Perdu,3,0
0,999,1,25,0,0,Rappel,3,0
1,1,3,40,0,1,Demo,2,0
1,18,2,30,0,0,Rappel,2,0
0,999,2,26,0,0,Rappel,5,0
1,0,3,59,0,1,Rappel,3,1
0,999,1,13,0,0,Rappel,3,0
1,-6,4,76,0,1,Rappel,1,1
1,33,4,47,0,1,Rappel,3,0
1,-8,5,34,1,0,Perdu,0,1
1,7,5,48,1,0,Demo,1,1
1,13,3,60,0,1,Perdu,3,0
1,26,5,51,1,1,Demo,1,1
1,32,4,59,0,1,Demo,3,0
0,999,1,18,0,0,Rappel,4,0
1,-11,4,76,1,1,Demo,0,1
0,999,1,24,0,0,Rappel,5,0
0,999,1,34,0,0,Rappel,3,0
0,999,3,8,0,0,Perdu,3,0
1,-2,3,44,1,0,Devis,1,1
1,3,3,90,1,0,Perdu,2,0
